Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
134 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   9  ,   0  ,   0  ,   0  ,   0  ,   0  , 
135 ,   2  ,   0  ,   0  ,   1  ,   0  ,   0  ,   1  ,   0  ,   3  ,   1  ,   0  ,   0  ,   0  ,   0  ,   2  , 
136 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   2  ,   0  ,   2  ,   3  ,   0  ,   0  , 
137 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   1  ,   0  ,   2  ,   2  ,   0  ,   2  , 
138 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   2  ,   2  ,   0  ,   1  ,   0  ,   0  , 
139 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   4  ,   3  ,   0  ,   0  ,   0  ,   0  ,   1  , 
140 ,   0  ,   0  ,   1  ,   1  ,   0  ,   0  ,   0  ,   2  ,   3  ,   5  ,   0  ,   0  ,   0  ,   0  ,   2  , 
141 ,   0  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   1  ,   1  ,   1  ,   0  ,   1  ,   0  ,   2  , 
142 ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   3  ,   3  ,   0  ,   2  ,   0  ,   0  , 
143 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   0  ,   1  ,   4  ,   2  ,   0  ,   1  ,   0  ,   0  , 
144 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   1  ,   0  ,   0  ,   3  ,   0  ,   0  , 
145 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  , 
146 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   7  ,   5  ,   1  ,   0  ,   1  ,   0  ,   0  , 
147 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  , 
148 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   10  ,   0  ,   0  ,   1  ,   0  ,   2  , 
149 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  , 
150 ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   3  ,   4  ,   0  ,   0  ,   0  ,   0  , 
151 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  , 
152 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  , 
153 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   4  ,   2  ,   0  ,   1  ,   0  ,   2  , 
